Edge ID	Source	Target	Frequency	Description	Module	Line	Notes
42	ActorBeliefOfRegion's shelterRisk	ActorBeliefOfActor's risk	often	For actor's staying at the shelter, a higher risk level at the shelter leads to a higher level of personal risk	actor		All actors had the same accurate beliefs about this dependency, but could differ in their beliefs about the regional risk (source node) and consequently their personal risk (target node)
43	Nature's category	Actor's perceivedCategory	often	Actors received accurate or off-by-1 reports of the hurricane category with some probability	actor		
44	Nature's category	Region's risk	often	The higher the category of the current hurricane, the higher the increase in risk	nature		This dependency is present in only altruistic actors (a strict subset of the population), but would be present in every decision those actors made
45	Nature's category	Region's shelterRisk	often	The higher the category of the current hurricane, the higher the increase in a shelter's risk	nature		
46	Nature's days	Nature's phase	often	There is a minimum number of days that must pass before a hurricance can change phase	nature		
47	Nature's location	Nature's phase	sometimes	If an active hurricane moves out of the area, then it is no longer considered active and its phase goes to "none"	nature		
48	Nature's location	Region's risk	often	A region's risk level increases more the closer it is to the hurricane's center	nature		
49	Nature's location	Region's shelterRisk	often	A shelter's risk level increases more the closer it is to the hurricane's center	nature		
50	Nature's phase	Nature's category	sometimes	The hurricane's category can change when its phase is "approaching"	nature		
51	Nature's phase	Nature's days	often	The number of days spent in the current phase goes to 0 if there's a phase change; otherwise, it increases by 1	nature		
52	Nature's phase	Nature's location	sometimes	The hurricane moves differently depending on whether it is over land or over water	nature		
53	Nature's phase	Region's risk	often	A region's risk is affected by Nature variables only when phase is active	nature		
54	Nature's phase	Region's shelterRisk	often	A shelter's risk is affected by Nature variables only when phase is active	nature		
55	Region's risk	Actor's risk	often	For actor's staying at home, a higher risk level in their region of residence leads to a higher level of personal risk	actor		
56	Region's risk	System-allocate-Region	often	Action choice determined by allocating resources to region with highest risk level	system		
57	Region's shelterPets	Actor's pet	sometimes	If an actor goes to a shelter that does not allow pets, his/her pet will die	actor		
58	Region's shelterRisk	Actor's risk	sometimes	The higher the risk at the shelter, the greater the increase in risk for actors who are staying there	actor		
59	System-allocate-Region	Actor's grievance	often	If the System's aid goes (does not go) to the Actor's region, his/her grievance will decrease (increase)	system		
60	System-allocate-Region	Region's risk	often	Allocating resources reduces the risk in a given region	system		
