Section	Option	24	30	31	32	33	34	35	36	37	61	62	63	64	65	66	67	68	69
Actors	grievance_religious_majority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	grievance_religious_minority	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	grievance_religious_none	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	grievance_sigma	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	grievance_wealth_no	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	grievance_wealth_threshold	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Actors	grievance_wealth_yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	health_impact	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	health_mean_age	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,5,5,5	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3	5,5,4,3,3
Actors	health_mean_ethnic_minority	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1
Actors	health_sigma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	info_reliability	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Actors	infoseek	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	job_impact	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	job_majority	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Actors	job_minority	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Actors	life_threshold	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Actors	likelihood_threshold	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Actors	male_prob	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Actors	max_horizon	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3
Actors	messages	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Actors	min_horizon	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1
Actors	movement	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	parent_max_age	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Actors	pet_prob	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	pet_vulnerability	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Actors	population	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160
Actors	proresources	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	proresources_benefit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	proresources_cost_risk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	prorisk	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Actors	prorisk_benefit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	prorisk_cost_risk	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Actors	religious_majority	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Actors	reward_health_female	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3
Actors	reward_health_male	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3
Actors	reward_kids_female	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2
Actors	reward_kids_male	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2
Actors	reward_pets	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	reward_sigma	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Actors	reward_wealth_female	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1
Actors	reward_wealth_male	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1
Actors	self_trust	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
Actors	system_correct	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Actors	system_model	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	system_optimist	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	theory_of_mind	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
Actors	wealth_mean_age	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,3,3,3,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3	3,4,5,4,3
Actors	wealth_mean_ethnic_minority	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Actors	wealth_mean_female	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
Actors	wealth_mean_religious_minority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	wealth_sigma	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Actors	wealth_spend	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Data	postsample	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Data	presample	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Disaster	approach_change	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Disaster	category_change	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Disaster	move_north	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Disaster	phase_change_prob	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Disaster	phase_min_days	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Disaster	risk_decay	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Disaster	risk_impact	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Disaster	stall_prob	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Groups	antiresources	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	antirisk	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	belief_max	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Groups	belief_min	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Groups	ethnic	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	evacuate	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	generic	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	horizon	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Groups	magnification	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Groups	proresources	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	prorisk	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	region	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Groups	region_membership	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Groups	religion	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Regions	random_population	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Regions	regions	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Regions	risk_mean	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regions	risk_sigma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Regions	security_mean	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Regions	security_sigma	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Regions	width	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Shelter	capacity	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Shelter	exists	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Shelter	job	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no
Shelter	pets	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no
Shelter	region	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
Shelter	risk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Simulation	seedenv	1	1	1	1	1	1	1	1	1									
Simulation	seedgen	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Simulation	seedrun	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Simulation	visualize	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
System	beliefs	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
System	horizon	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
System	resources	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
System	reward_grievance	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
System	reward_health	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
System	system	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
System	system_allocation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
System	system_impact	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
